Part Number	Library Ref	Footprint Ref	Value	Manufacturer	ManufacturerAlt	MPN	MPNAlt	Height	MntType	MSL	Notes	Package	Power	RoHS	TempCoeff	Tolerance	Weight	Voltage	PartType	Pins	BOMDescription	BOMDescriptionRUS	CFootprint	Comment	Rule	ClassName	Library Path	Footprint Path	System	ComponentLink1Description	ComponentLink1URL
R0402-10 кќм ±1%	RES	RESC0402(1005)_M	10к	Yageo		R0402-10 кќм ±1%	R0402 - 10 kOhm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-4,7 кќм ±1%	RES	RESC0402(1005)_M	4,7к	Yageo		R0402-4,7 кќм ±1%	R0402 - 4.7 kOhm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-22 ќм ±1%	RES	RESC0402(1005)_M	22	Yageo		R0402-22 ќм ±1%	R0402 - 22 Ohm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-100 ќм ±1%	RES	RESC0402(1005)_M	100	Yageo		R0402-100 ќм ±1%	R0402 - 100 Ohm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-1 кќм ±1%	RES	RESC0402(1005)_M	1к	Yageo		R0402-1 кќм ±1%	R0402 Ч 1 kOhm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-13 кќм ±1%	RES	RESC0402(1005)_M	13к	Yageo		R0402-13 кќм ±1%	R0402 Ч 13 kOhm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-2,2 кќм ±1%	RES	RESC0402(1005)_M	2,2к	Yageo		R0402-2,2 кќм ±1%	R0402 Ч 2.2 kOhm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-3,3 кќм ±1%	RES	RESC0402(1005)_M	3,3к	Yageo		R0402-3,3 кќм ±1%	R0402 Ч 3.3 kOhm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-12 кќм ±1%	RES	RESC0402(1005)_M	12к	Yageo		R0402-12 кќм ±1%	R0402 Ч 12 kOhm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
R0402-0 ќм ±1%	RES	RESC0402(1005)_M	0	Yageo		R0402-0 ќм ±1%	R0402 Ч 0 Ohm ±1%		SMD	MSL 1		R0402	0,062	Comply		±1%			–езистор	2	=MPNAlt+' '+Manufacturer	=PartType+' '+MPN+' '+Manufacturer	=Footprint	=Value		Resistor	Symbol/Symbol.SchLib	Footprint/Footprint.PcbLib			
